projectID,taskID,taskName,status,deadline
131,4,Archive partner agreements — draft,in progress,2023-03-09
131,5,Compile customer surveys this sprint,approved,2022-10-15
131,6,Collect current travel requests with HR,in review,2023-02-11
131,7,Plan weekly scope change requests this sprint,complete,2022-09-29
131,8,Prioritize project milestones before Friday,approved,2021-12-27
132,1,Draft the quarterly budget for Finance with HR,complete,2020-02-14
132,2,Confirm cross-team dependencies for HR for Q1,in progress,2020-12-28
132,3,Collect handoff documentation for Q4,in review,2019-12-09
132,4,Review weekly department KPIs before Friday,complete,2020-12-25
132,5,Coordinate project milestones this sprint,in progress,2020-02-26
132,6,Outline product requirements for Engineering for Q1,in review,2020-06-22
132,7,Audit handoff documentation with HR,approved,2019-11-20
132,8,Summarize client proposals,in review,2021-01-21
133,1,Complete upcoming policy updates for Q2,complete,2025-06-11
133,2,Verify audit findings for HR with HR,approved,2026-02-01
133,3,Compile travel requests for Sales for Q4,complete,2025-11-27
133,4,Validate benefits enrollment for Operations (internal),complete,2026-04-25
133,5,Confirm product requirements for Marketing for Q2,complete,2026-02-09
133,6,Collect project milestones with finance,in review,2026-07-09
133,7,Draft pending project milestones for Q1,in review,2025-07-30
133,8,Coordinate data backups for Q4,in review,2025-05-28
134,1,Analyze department KPIs (internal),in progress,2021-01-27
134,2,Collect pending marketing briefs,in review,2020-12-09
134,3,Prepare facility access requests,in review,2020-12-11
134,4,Validate upcoming equipment orders with legal,overdue,2021-01-02
134,5,Prepare marketing briefs for Sales for leadership review,in review,2020-12-05
134,6,Analyze training materials before Friday,in review,2020-10-10
134,7,Confirm weekly risk registers with legal,complete,2021-01-07
134,8,Reconcile annual reviews for Engineering for Q2,complete,2021-01-21
135,1,Audit timesheets for Operations for Q1,in progress,2024-05-16
135,2,Summarize budget variance notes for Finance for Q4,complete,2023-12-24
135,3,Complete release notes (internal),complete,2024-03-06
135,4,Plan upcoming audit findings this sprint,in review,2024-04-07
135,5,Prioritize monthly facility access requests for Q1,in progress,2023-09-03
135,6,Organize weekly risk registers for Q2,approved,2023-11-13
135,7,Audit customer surveys for Finance for Q1,complete,2023-07-25
135,8,Submit performance goals with legal,complete,2024-04-10
136,1,Publish purchase orders for Q3,complete,2020-07-13
136,2,Reconcile weekly annual reviews (internal),complete,2020-09-04
136,3,Reconcile weekly performance goals for Q2,complete,2020-01-22
136,4,Archive current client proposals for Q3,overdue,2020-03-03
136,5,Confirm stakeholder feedback for Sales (internal),in review,2021-02-15
136,6,Review release notes for Q3,complete,2020-12-20
136,7,Reconcile security assessments for Marketing for Q3,approved,2020-04-29
136,8,Submit data backups for Engineering for Q1,in review,2020-03-31
137,1,Prepare purchase orders for Sales,in progress,2025-07-09
137,2,Document upcoming the quarterly budget — draft,approved,2025-05-22
137,3,Summarize monthly project milestones — draft,approved,2025-07-09
137,4,Submit training materials for Finance,complete,2025-01-29
137,5,Plan meeting notes for Q1,complete,2025-08-21
137,6,Draft upcoming travel requests — follow-up,in review,2025-09-22
137,7,Outline inventory counts for Sales with finance,in progress,2026-04-05
137,8,Approve capital expenditure requests for Engineering for leadership review,in progress,2024-10-14
138,1,Validate marketing briefs for Q3,in progress,2021-03-14
138,2,Draft weekly payroll exceptions,complete,2021-03-17
138,3,Confirm current timesheets for leadership review,approved,2020-09-12
138,4,Prepare current cross-team dependencies — draft,approved,2021-06-22
138,5,Schedule expense reports this sprint,in progress,2021-03-21
138,6,Review travel requests with legal,approved,2022-02-19
138,7,Prioritize annual reviews with HR,in progress,2022-01-12
138,8,Prioritize upcoming handoff documentation for leadership review,in progress,2020-11-23
139,1,Compile timesheets for Marketing — draft,overdue,2025-03-18
139,2,Compile monthly scope change requests before Friday,in progress,2025-03-16
139,3,Audit upcoming cross-team dependencies (internal),overdue,2025-03-02
139,4,Publish inventory counts with legal,in progress,2025-04-07
139,5,Validate upcoming cross-team dependencies for Q1,approved,2024-08-24
139,6,Complete weekly timesheets for leadership review,in review,2024-04-11
139,7,Review pending marketing briefs,overdue,2025-01-02
139,8,Plan pending training materials this sprint,approved,2024-12-14
140,1,Monitor customer surveys with finance,in progress,2022-05-15
140,2,Approve audit findings for Engineering for Q3,in review,2022-06-22
140,3,Coordinate audit findings — draft,in review,2022-04-03
140,4,Update travel requests for Marketing for Q4,approved,2022-12-23
140,5,Prepare current release notes for leadership review,in review,2022-09-23
140,6,Plan purchase orders this sprint,approved,2022-11-21
140,7,Submit facility access requests with legal,in review,2022-12-16
140,8,Publish sales forecasts for Q3,in progress,2023-04-16
141,1,Confirm risk registers for Q3,in progress,2020-03-09
141,2,Analyze hiring requisitions for Marketing for Q3,complete,2020-03-13
141,3,Complete scope change requests this sprint,in progress,2020-06-25
141,4,Review product requirements — draft,in progress,2020-04-02
141,5,Draft software licenses,complete,2020-06-10
141,6,Draft support tickets — follow-up,complete,2020-03-22
141,7,Implement security assessments for Finance this sprint,complete,2020-05-25
141,8,Collect risk registers for Marketing this sprint,complete,2020-05-05
142,1,Reconcile pending software licenses with finance,in review,2023-08-19
142,2,Track upcoming annual reviews before Friday,in progress,2023-04-09
142,3,Submit client proposals for Marketing,in review,2023-05-27
142,4,Confirm support tickets for Engineering — follow-up,approved,2023-02-19
142,5,Compile travel requests with legal,complete,2022-12-19
142,6,Update weekly risk registers,in progress,2023-02-21
142,7,Review audit findings for Marketing — draft,complete,2023-02-14
142,8,Validate department KPIs for Q3,in review,2023-05-16
143,1,Track marketing briefs with HR,in progress,2020-12-29
143,2,Prioritize monthly equipment orders this sprint,in review,2020-09-26
143,3,Implement capital expenditure requests for Q4,approved,2020-07-30
143,4,Submit data backups for HR with finance,complete,2020-10-02
143,5,Draft department KPIs for Q2,in progress,2020-12-23
143,6,Prioritize the quarterly budget this sprint,in progress,2021-01-02
143,7,Plan weekly software licenses for Q3,approved,2020-09-19
143,8,Summarize software licenses for Finance with HR,overdue,2020-11-15
144,1,Organize monthly inventory counts before Friday,approved,2023-12-18
144,2,Organize weekly expense reports for Q1,complete,2024-04-30
144,3,Complete benefits enrollment for Operations for Q3,in review,2024-10-24
144,4,Outline current risk registers — follow-up,approved,2025-04-19
144,5,Audit training materials with legal,in progress,2023-09-24
144,6,Publish current support tickets for Q4,complete,2024-05-26
144,7,Finalize stakeholder feedback,in review,2024-01-19
144,8,Archive upcoming vendor contracts — follow-up,complete,2024-05-31
145,1,Validate monthly benefits enrollment for Q4,in progress,2024-11-06
145,2,Schedule sales forecasts,in review,2024-07-17
145,3,Complete audit findings for Finance with legal,in progress,2024-12-05
145,4,Finalize meeting notes for HR before Friday,in review,2024-11-08
145,5,Reconcile pending facility access requests for Q4,overdue,2024-09-25
145,6,Organize pending vendor contracts with legal,in progress,2025-01-04
145,7,Publish security assessments (internal),in progress,2025-02-07
145,8,Track training materials for Engineering for Q3,overdue,2024-09-25
146,1,Document weekly travel requests with finance,in review,2023-04-11
146,2,Publish purchase orders for Engineering for Q3,approved,2022-12-20
146,3,Update current marketing briefs — follow-up,in review,2022-09-23
146,4,Implement current partner agreements for Q2,in review,2023-05-01
146,5,Update current data backups with finance,complete,2022-10-02
146,6,Archive project milestones for Marketing before Friday,in progress,2023-03-26
146,7,Audit purchase orders this sprint,overdue,2022-11-17
146,8,Organize weekly sales forecasts for Q1,approved,2022-11-08
147,1,Collect performance goals for Operations,in review,2024-01-23
147,2,Analyze meeting notes for Marketing for Q2,approved,2022-11-14
147,3,Compile client proposals for Sales with finance,overdue,2023-01-20
147,4,Track data backups with legal,in progress,2023-10-30
147,5,Prioritize invoice approvals (internal),approved,2024-02-15
147,6,Verify travel requests for Q3,complete,2023-05-04
147,7,Document purchase orders for Q2,in progress,2024-02-20
147,8,Track support tickets for HR with finance,approved,2023-10-13
148,1,Track upcoming data backups with finance,in review,2020-02-01
148,2,Finalize client proposals with legal,in progress,2019-03-31
148,3,Track performance goals for Q4,in review,2019-08-08
148,4,Collect cross-team dependencies before Friday,complete,2019-03-13
148,5,Plan project milestones for Operations for Q4,overdue,2020-05-07
148,6,Coordinate partner agreements for leadership review,in review,2019-11-07
148,7,Summarize capital expenditure requests before Friday,in progress,2019-05-29
148,8,Outline product requirements this sprint,in review,2020-06-27
149,1,Organize compliance checklists,in progress,2024-03-27
149,2,Audit the quarterly budget for Sales for Q1,in review,2023-09-26
149,3,Document pending sales forecasts with HR,approved,2024-02-21
149,4,Reconcile the quarterly budget — draft,complete,2023-12-07
149,5,Submit onboarding paperwork for Finance for Q2,complete,2024-08-02
149,6,Document current release notes with finance,approved,2023-11-27
149,7,Verify inventory counts for leadership review,complete,2024-05-09
149,8,Schedule department KPIs for HR — draft,in progress,2024-03-19
150,1,Archive hiring requisitions for Engineering with HR,in review,2020-06-16
150,2,Organize timesheets with legal,in review,2020-06-11
150,3,Collect incident reports for HR with HR,in progress,2020-06-29
150,4,Publish compliance checklists for Operations with legal,in progress,2020-06-29
150,5,Schedule weekly training materials with finance,overdue,2020-06-23
150,6,Summarize current timesheets this sprint,in progress,2020-06-05
150,7,Organize stakeholder feedback for Sales for Q4,overdue,2020-06-19
150,8,Submit weekly benefits enrollment — follow-up,complete,2020-06-25
151,1,Reconcile upcoming inventory counts before Friday,in progress,2021-04-29
151,2,Implement pending invoice approvals (internal),overdue,2021-05-25
151,3,Compile client proposals this sprint,in review,2021-06-20
151,4,Archive cross-team dependencies for Sales — draft,in review,2021-05-27
151,5,Monitor current cross-team dependencies for Q1,approved,2021-06-24
151,6,Prioritize upcoming client proposals (internal),overdue,2021-06-10
151,7,Collect partner agreements with HR,in progress,2021-05-06
151,8,Outline partner agreements for Finance,in review,2021-07-11
152,1,Coordinate risk registers — draft,approved,2023-10-11
152,2,Finalize onboarding paperwork this sprint,in progress,2022-10-13
152,3,Confirm upcoming marketing briefs for Q1,in review,2023-02-03
152,4,Archive audit findings for Operations for Q3,complete,2023-07-01
152,5,Implement benefits enrollment for Engineering with finance,in progress,2022-11-13
152,6,Reconcile monthly payroll exceptions for leadership review,approved,2023-08-09
152,7,Archive pending annual reviews — draft,complete,2023-09-24
152,8,Collect department KPIs (internal),approved,2023-09-06
153,1,Archive data backups for Q3,complete,2023-01-05
153,2,Compile monthly annual reviews this sprint,in review,2022-10-16
153,3,Review product requirements this sprint,in review,2023-02-03
153,4,Track monthly facility access requests — draft,overdue,2023-01-27
153,5,Track onboarding paperwork for Operations this sprint,complete,2022-12-08
153,6,Publish cross-team dependencies for Q1,approved,2023-01-11
153,7,Review upcoming capital expenditure requests — draft,in progress,2022-09-08
153,8,Prepare current policy updates for leadership review,approved,2022-11-01
154,1,Track release notes,complete,2021-09-22
154,2,Archive upcoming capital expenditure requests with legal,in progress,2021-07-02
154,3,Draft pending release notes with finance,in progress,2021-06-25
154,4,Submit policy updates for HR for Q1,in review,2021-06-12
154,5,Audit upcoming benefits enrollment with HR,approved,2021-08-16
154,6,Summarize vendor contracts for Operations with HR,approved,2021-09-15
154,7,Summarize benefits enrollment for HR — draft,in review,2021-07-24
154,8,Plan marketing briefs for Marketing before Friday,complete,2021-06-10
155,1,Monitor customer surveys for HR with finance,complete,2022-01-18
155,2,Complete client proposals for Q1,in progress,2022-01-14
155,3,Coordinate project milestones for Q1,in progress,2022-01-21
155,4,Publish budget variance notes for Sales this sprint,approved,2022-01-31
155,5,Validate upcoming department KPIs with finance,in review,2022-01-19
155,6,Update product requirements with legal,in progress,2022-02-02
155,7,Audit client proposals for leadership review,complete,2022-01-10
155,8,Collect invoice approvals for HR,in review,2022-02-02
156,1,Verify current customer surveys for Q4,in review,2023-04-27
156,2,Collect pending incident reports for leadership review,overdue,2023-04-03
156,3,Prepare pending product requirements this sprint,complete,2023-04-20
156,4,Submit data backups — follow-up,in progress,2023-05-15
156,5,Prepare pending benefits enrollment for leadership review,in progress,2023-04-10
156,6,Monitor customer surveys for Engineering for Q2,approved,2023-04-10
156,7,Coordinate security assessments for Marketing,approved,2023-04-09
156,8,Prepare department KPIs with finance,in review,2023-04-22
157,1,Prioritize client proposals (internal),approved,2024-07-21
157,2,Finalize support tickets for Marketing with finance,complete,2025-03-17
157,3,Archive pending budget variance notes,complete,2023-12-11
157,4,Prioritize facility access requests for Operations with legal,in review,2024-06-15
157,5,Complete customer surveys for Q4,complete,2025-04-11
157,6,Complete invoice approvals,complete,2024-11-22
157,7,Outline current incident reports with HR,in progress,2024-01-19
157,8,Compile handoff documentation with legal,complete,2025-03-10
158,1,Publish pending equipment orders with legal,approved,2020-09-04
158,2,Collect upcoming expense reports for Q2,in review,2020-07-22
158,3,Draft performance goals this sprint,approved,2020-07-02
158,4,Collect handoff documentation with legal,complete,2020-03-15
158,5,Prepare current marketing briefs — draft,in progress,2020-03-05
158,6,Track monthly equipment orders for Q1,in review,2020-06-28
158,7,Prepare pending sales forecasts for Q4,complete,2020-03-04
158,8,Document facility access requests for leadership review,in review,2020-06-06
159,1,Compile current hiring requisitions this sprint,in review,2025-09-06
159,2,Schedule weekly support tickets with legal,in review,2025-09-10
159,3,Approve release notes for HR — draft,overdue,2025-07-24
159,4,Submit invoice approvals for Q1,approved,2025-07-11
159,5,Analyze weekly invoice approvals this sprint,approved,2025-06-05
159,6,Analyze current the quarterly budget with HR,in progress,2025-06-08
159,7,Schedule inventory counts with legal,in progress,2025-08-04
159,8,Prioritize release notes with legal,in progress,2025-06-20
160,1,Submit audit findings for Sales for Q4,in progress,2020-12-10
160,2,Prepare release notes — follow-up,in review,2020-12-25
160,3,Archive marketing briefs — follow-up,approved,2020-12-13
160,4,Outline handoff documentation for Q1,in review,2020-12-30
160,5,Submit capital expenditure requests for Engineering with finance,in progress,2021-01-05
160,6,Monitor customer surveys for Q2,in progress,2020-12-31
160,7,Summarize upcoming incident reports before Friday,in review,2020-12-19
160,8,Confirm upcoming scope change requests with finance,in progress,2020-12-26
161,1,Document meeting notes for Operations (internal),in review,2022-05-10
161,2,Outline pending support tickets with finance,in progress,2022-11-05
161,3,Complete weekly incident reports with HR,approved,2022-11-26
161,4,Track current marketing briefs for Q2,in progress,2022-11-09
161,5,Draft meeting notes for Operations for Q4,approved,2022-12-19
161,6,Complete monthly benefits enrollment for Q3,approved,2023-01-11
161,7,Verify incident reports for Engineering with HR,in progress,2022-11-06
161,8,Finalize support tickets,complete,2022-12-20
162,1,Compile support tickets for HR,overdue,2021-03-30
162,2,Document the quarterly budget with HR,approved,2021-03-15
162,3,Collect timesheets for Finance,in progress,2021-04-20
162,4,Publish current expense reports for Q2,in review,2021-03-30
162,5,Summarize meeting notes — follow-up,approved,2021-04-18
162,6,Approve monthly inventory counts — draft,in review,2021-03-27
162,7,Prepare upcoming stakeholder feedback for Q4,in review,2021-04-20
162,8,Publish handoff documentation for HR — draft,in review,2021-04-01
163,1,Confirm handoff documentation for Engineering,complete,2026-07-30
163,2,Validate sales forecasts (internal),in review,2027-01-13
163,3,Finalize meeting notes for Marketing with legal,approved,2026-12-24
163,4,Verify software licenses for HR with HR,in progress,2026-09-07
163,5,Plan benefits enrollment for Finance — draft,in progress,2026-11-03
163,6,Coordinate support tickets for Q1,in progress,2026-07-23
163,7,Approve pending partner agreements — follow-up,in progress,2026-06-13
163,8,Plan department KPIs for Engineering with finance,complete,2026-07-28
164,1,Prioritize equipment orders for Marketing with finance,in progress,2020-08-30
164,2,Implement customer surveys for Finance — follow-up,overdue,2020-06-08
164,3,Outline policy updates for Operations this sprint,complete,2021-08-09
164,4,Reconcile security assessments (internal),approved,2020-12-20
164,5,Confirm monthly audit findings with HR,in progress,2020-06-13
164,6,Document department KPIs — draft,complete,2021-05-10
164,7,Schedule payroll exceptions with legal,approved,2021-10-09
164,8,Verify incident reports for Q2,in review,2021-10-18
165,1,Prioritize support tickets for Finance — follow-up,complete,2023-07-08
165,2,Validate customer surveys for Finance (internal),approved,2023-09-02
165,3,Archive performance goals for HR — draft,in review,2022-11-16
165,4,Verify pending stakeholder feedback for Q4,in review,2022-07-26
165,5,Summarize policy updates for Q2,in progress,2022-07-20
165,6,Publish payroll exceptions for Operations,approved,2023-02-24
165,7,Draft client proposals with finance,overdue,2023-05-29
165,8,Plan handoff documentation before Friday,in progress,2023-02-11
166,1,Document upcoming release notes (internal),in review,2025-10-20
166,2,Complete current payroll exceptions with finance,complete,2024-09-25
166,3,Prepare security assessments (internal),overdue,2024-10-05
166,4,Review monthly travel requests before Friday,complete,2024-12-04
166,5,Analyze annual reviews for Operations for Q2,complete,2024-10-07
166,6,Collect monthly data backups for Q2,complete,2025-10-08
166,7,Monitor scope change requests for Finance with legal,in review,2025-10-11
166,8,Draft current annual reviews,complete,2025-10-19
167,1,Confirm monthly compliance checklists with legal,in review,2025-11-07
167,2,Prepare meeting notes for Engineering with finance,overdue,2025-09-30
167,3,Summarize risk registers for Marketing (internal),in progress,2025-11-20
167,4,Approve purchase orders for Sales with finance,in progress,2026-07-01
167,5,Validate policy updates for Sales with legal,complete,2025-12-23
167,6,Analyze equipment orders for Engineering for leadership review,in progress,2025-09-25
167,7,Approve invoice approvals for Marketing for Q3,approved,2025-08-11
167,8,Submit training materials for Q1,in progress,2026-08-06
168,1,Verify policy updates with HR,in review,2026-09-29
168,2,Document weekly vendor contracts this sprint,in review,2026-07-30
168,3,Finalize weekly product requirements for Q2,in review,2026-09-04
168,4,Outline capital expenditure requests for HR with legal,in progress,2026-05-30
168,5,Track upcoming benefits enrollment for Q2,in review,2026-07-03
168,6,Publish support tickets for Sales — follow-up,in progress,2026-02-11
168,7,Collect meeting notes for Q2,in progress,2026-04-09
168,8,Prioritize expense reports with finance,in progress,2026-07-19
169,1,Collect project milestones for Sales with HR,overdue,2019-04-17
169,2,Implement facility access requests for HR with legal,in review,2019-05-17
169,3,Validate monthly onboarding paperwork before Friday,in review,2019-05-16
169,4,Confirm the quarterly budget for HR,in progress,2019-04-16
169,5,Draft upcoming support tickets for Q1,in review,2019-05-07
169,6,Prepare invoice approvals for Engineering for Q2,in progress,2019-05-29
169,7,Coordinate cross-team dependencies for Q1,in review,2019-05-14
169,8,Update incident reports for Q3,in progress,2019-06-04
170,1,Document monthly release notes for Q4,in progress,2025-09-22
170,2,Finalize security assessments with finance,complete,2025-10-09
170,3,Validate client proposals for Finance for Q4,complete,2025-09-03
170,4,Compile scope change requests with finance,complete,2025-06-09
170,5,Submit meeting notes for Marketing,approved,2025-05-09
170,6,Document current cross-team dependencies for Q4,approved,2025-05-01
170,7,Plan budget variance notes before Friday,approved,2025-05-23
170,8,Organize onboarding paperwork for HR,complete,2025-12-19
171,1,Publish support tickets for Finance,overdue,2023-02-02
171,2,Document meeting notes for Operations — draft,approved,2022-02-26
171,3,Complete timesheets for Operations for Q4,in progress,2022-07-23
171,4,Archive timesheets for HR for Q1,in progress,2022-03-23
171,5,Publish capital expenditure requests for HR — follow-up,complete,2022-01-15
171,6,Document capital expenditure requests for Finance with HR,in progress,2023-02-02
171,7,Audit current equipment orders this sprint,complete,2023-04-11
171,8,Confirm vendor contracts with HR,overdue,2022-09-13
172,1,Approve stakeholder feedback for Q3,in review,2023-11-13
172,2,Audit project milestones for Operations with finance,approved,2024-04-03
172,3,Review customer surveys for Marketing for leadership review,approved,2024-03-28
172,4,Organize cross-team dependencies with HR,complete,2024-01-17
172,5,Summarize risk registers with finance,in progress,2023-10-21
172,6,Document release notes for Engineering for Q4,in review,2024-07-28
172,7,Prioritize hiring requisitions for Q1,approved,2024-08-20
172,8,Review upcoming scope change requests with legal,approved,2024-01-08
173,1,Update expense reports for HR for Q4,in progress,2025-11-19
173,2,Coordinate inventory counts for Q4,approved,2026-09-28
173,3,Prepare department KPIs for Q1,in review,2025-12-07
173,4,Archive project milestones before Friday,complete,2026-03-27
173,5,Compile upcoming capital expenditure requests with finance,complete,2026-04-01
173,6,Publish partner agreements for Q1,approved,2025-11-13
173,7,Document marketing briefs for Sales with finance,in review,2025-09-10
173,8,Track current product requirements with HR,approved,2026-09-08
174,1,Outline expense reports for HR — draft,complete,2021-05-16
174,2,Implement software licenses for Marketing this sprint,approved,2021-06-21
174,3,Implement pending hiring requisitions with HR,approved,2021-06-21
174,4,Collect vendor contracts before Friday,in progress,2021-06-24
174,5,Collect current facility access requests with finance,complete,2021-07-06
174,6,Monitor pending project milestones with legal,approved,2021-05-10
174,7,Finalize current handoff documentation this sprint,in review,2021-04-08
174,8,Collect expense reports for HR for Q3,in progress,2021-07-09
175,1,Analyze upcoming client proposals — follow-up,in progress,2025-03-13
175,2,Verify sales forecasts for Finance this sprint,in review,2025-02-12
175,3,Collect equipment orders,in review,2025-02-18
175,4,Verify inventory counts for Q2,in review,2025-03-28
175,5,Publish monthly security assessments,overdue,2025-02-20
175,6,Audit partner agreements for Q4,in progress,2025-02-07
175,7,Compile compliance checklists — follow-up,in review,2025-02-03
175,8,Confirm pending software licenses with HR,complete,2025-02-26
176,1,Approve weekly purchase orders — follow-up,approved,2024-10-17
176,2,Monitor equipment orders,approved,2025-02-18
176,3,Summarize facility access requests for Marketing before Friday,in review,2025-02-21
176,4,Approve upcoming meeting notes for leadership review,overdue,2024-10-11
176,5,Audit department KPIs for Engineering with finance,approved,2024-12-15
176,6,Audit purchase orders for HR,approved,2024-11-25
176,7,Reconcile department KPIs (internal),complete,2024-10-27
176,8,Validate product requirements (internal),in review,2025-03-01
177,1,Organize annual reviews for Q2,approved,2021-06-24
177,2,Collect stakeholder feedback for HR with finance,in review,2021-06-18
177,3,Monitor benefits enrollment for Sales for Q4,overdue,2021-06-19
177,4,Prioritize weekly partner agreements for Q3,overdue,2021-05-28
177,5,Review capital expenditure requests for leadership review,complete,2021-06-18
177,6,Archive monthly payroll exceptions for Q3,approved,2021-06-24
177,7,Plan upcoming cross-team dependencies for Q3,complete,2021-06-18
177,8,Draft department KPIs for leadership review,in progress,2021-06-18
178,1,Track hiring requisitions with finance,complete,2023-03-03
178,2,Audit incident reports for Engineering for Q3,in review,2023-11-18
178,3,Organize meeting notes before Friday,overdue,2023-07-08
178,4,Prepare project milestones,in progress,2022-11-27
178,5,Plan capital expenditure requests — follow-up,complete,2023-12-05
178,6,Analyze project milestones for Engineering — draft,complete,2023-02-10
178,7,Finalize pending capital expenditure requests before Friday,approved,2023-03-12
178,8,Outline current software licenses with legal,complete,2023-05-11
179,1,Reconcile current onboarding paperwork this sprint,in review,2021-02-01
179,2,Implement inventory counts for Marketing this sprint,approved,2021-01-03
179,3,Archive monthly training materials for Q2,approved,2021-01-30
179,4,Publish purchase orders for HR with finance,in progress,2021-05-16
179,5,Summarize the quarterly budget for Q1,in progress,2020-08-06
179,6,Implement risk registers for Operations — follow-up,in progress,2020-10-16
179,7,Organize travel requests for Q4,approved,2020-05-01
179,8,Collect upcoming scope change requests with legal,complete,2020-07-10
180,1,Audit weekly the quarterly budget with finance,in progress,2021-03-23
180,2,Summarize annual reviews for Q3,approved,2021-07-10
180,3,Finalize weekly capital expenditure requests,in progress,2021-11-11
180,4,Review policy updates for Marketing for Q1,in progress,2021-04-17
180,5,Confirm project milestones with legal,in progress,2021-10-02
180,6,Confirm pending partner agreements before Friday,in review,2021-08-29
180,7,Collect weekly vendor contracts for Q1,in progress,2021-08-27
180,8,Complete inventory counts for Finance for leadership review,overdue,2021-10-07
181,1,Coordinate onboarding paperwork with finance,in review,2023-12-01
181,2,Audit handoff documentation for Finance before Friday,in review,2023-05-09
181,3,Monitor purchase orders for Sales with HR,complete,2023-09-11
181,4,Plan pending compliance checklists for Q3,in review,2023-06-13
181,5,Finalize payroll exceptions for Operations,in review,2023-08-03
181,6,Confirm expense reports,approved,2023-07-24
181,7,Reconcile budget variance notes with legal,approved,2023-09-04
181,8,Organize project milestones for Q3,approved,2024-01-31
182,1,Approve department KPIs for Sales for Q1,in progress,2024-10-06
182,2,Confirm partner agreements with HR,complete,2024-11-04
182,3,Implement current facility access requests,in progress,2024-05-30
182,4,Track monthly training materials for Q2,in progress,2024-05-22
182,5,Collect current benefits enrollment (internal),in progress,2024-09-16
182,6,Outline audit findings with finance,in review,2024-02-29
182,7,Document customer surveys for Marketing for Q3,overdue,2024-11-02
182,8,Prioritize weekly partner agreements for Q2,in progress,2024-10-28
183,1,Finalize handoff documentation for Finance,in review,2026-08-27
183,2,Review invoice approvals for HR — follow-up,complete,2027-10-03
183,3,Complete monthly policy updates before Friday,complete,2027-04-04
183,4,Analyze risk registers for Sales for Q2,complete,2026-05-18
183,5,Implement product requirements for Sales this sprint,approved,2027-10-15
183,6,Archive equipment orders before Friday,overdue,2027-05-18
183,7,Document marketing briefs for Engineering for Q3,in progress,2026-04-25
183,8,Update weekly support tickets (internal),in progress,2027-10-20
184,1,Update stakeholder feedback for Q1,complete,2023-01-07
184,2,Verify equipment orders for Marketing — draft,in review,2022-09-17
184,3,Confirm monthly hiring requisitions for leadership review,in progress,2023-03-02
184,4,Finalize vendor contracts for Marketing with legal,complete,2022-11-15
184,5,Analyze pending marketing briefs,overdue,2022-08-15
184,6,Verify audit findings for leadership review,approved,2023-03-07
184,7,Implement weekly travel requests for Q3,in review,2022-01-03
184,8,Audit invoice approvals for Marketing with finance,overdue,2023-03-18
185,1,Submit cross-team dependencies for HR for Q4,approved,2026-03-30
185,2,Organize weekly invoice approvals — draft,complete,2025-12-09
185,3,Monitor facility access requests — draft,in progress,2026-02-23
185,4,Organize upcoming release notes for Q4,in progress,2027-05-04
185,5,Outline monthly stakeholder feedback with HR,in progress,2027-05-20
185,6,Complete marketing briefs for Operations with HR,approved,2026-02-28
185,7,Prioritize monthly annual reviews with legal,complete,2026-02-10
185,8,Outline weekly release notes with finance,in progress,2026-02-19
186,1,Verify software licenses for Operations before Friday,in review,2023-07-02
186,2,Submit onboarding paperwork for Sales this sprint,in progress,2023-07-31
186,3,Archive training materials for Marketing — draft,in progress,2023-06-20
186,4,Prepare hiring requisitions for Finance this sprint,approved,2023-07-01
186,5,Complete current project milestones,complete,2023-07-02
186,6,Coordinate timesheets for Q3,approved,2023-07-07
186,7,Submit upcoming data backups,in progress,2023-07-26
186,8,Audit product requirements for Sales before Friday,approved,2023-06-18
187,1,Prepare pending customer surveys before Friday,in review,2022-11-16
187,2,Track incident reports for Operations — follow-up,in progress,2022-06-30
187,3,Coordinate current travel requests for leadership review,in review,2023-03-23
187,4,Plan customer surveys for HR — draft,in progress,2022-08-24
187,5,Schedule benefits enrollment with HR,complete,2022-04-26
187,6,Confirm audit findings for Q4,in progress,2023-02-06
187,7,Monitor client proposals for Marketing for Q2,complete,2022-04-18
187,8,Document current vendor contracts for Q4,in review,2022-08-14
188,1,Archive travel requests for Q1,in progress,2023-04-13
188,2,Outline pending client proposals for leadership review,complete,2022-11-04
188,3,Track training materials with HR,complete,2023-01-01
188,4,Review upcoming sales forecasts,approved,2023-02-20
188,5,Schedule performance goals this sprint,in review,2023-03-04
188,6,Organize client proposals for Operations — follow-up,complete,2023-01-25
188,7,Monitor performance goals for Engineering this sprint,in review,2022-12-19
188,8,Verify monthly annual reviews before Friday,in progress,2023-04-06
189,1,Summarize pending annual reviews — draft,approved,2023-05-20
189,2,Verify purchase orders for Operations for Q3,complete,2023-02-03
189,3,Confirm onboarding paperwork for Q2,in progress,2023-11-05
189,4,Archive onboarding paperwork for Finance for Q1,complete,2023-10-17
189,5,Document weekly performance goals for leadership review,in review,2023-04-20
189,6,Track timesheets for Q4,in progress,2022-12-27
189,7,Prepare marketing briefs for Marketing before Friday,complete,2022-12-01
189,8,Approve hiring requisitions for Operations with legal,complete,2023-04-22
190,1,Compile upcoming sales forecasts (internal),complete,2024-02-17
190,2,Schedule monthly training materials — follow-up,in progress,2023-09-19
190,3,Update pending data backups — draft,approved,2024-04-20
190,4,Draft department KPIs for Marketing before Friday,complete,2024-04-05
190,5,Publish inventory counts for Finance with HR,complete,2023-12-19
190,6,Reconcile hiring requisitions for Operations,approved,2023-12-05
190,7,Plan monthly expense reports before Friday,in review,2023-05-04
